ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue,hist_volatility,sharpe_ratio,max_drawdown,stddev_returns,value_at_risk,avg_volume_30d,volume_growth,turnover_ratio,bid_ask_spread
ESAB,0.1667,59.3510,1.9140,1.0510,346342016.0000,2729197056.0000,0.1958,0.1686,0.3802,2.0909,3.8394,4.8200,7345070592.0000,15.6120,2.6913,0.0664,1.3170,60622900.0000,56708326.0000,-1.7000,,85.3220,0.2295,-41.0942,3.2103,6.4192,834383.3333,-32.9782,1.4714,3.2376
POWW,-0.0600,4.1910,3.1690,1.7740,19087760.0000,135498016.0000,0.0465,-0.1156,0.2888,,0.6672,-0.2100,232169936.0000,31.9550,1.7135,0.0000,1.3200,118757000.0000,86608098.0000,-10.3000,,44.5339,-1.4016,-61.8799,2.8503,3.3422,83226.6667,-27.6226,0.0961,2.8853
PWP,0.0092,114.7330,1.1650,0.9160,253183008.0000,987742976.0000,0.0000,0.1089,0.9789,2.2500,-3.2037,-0.2100,1471132416.0000,,1.4894,0.0000,1.6910,62192700.0000,60820168.0000,107.4000,,50.8631,-3.0049,-54.6271,2.8806,4.1997,210736.6667,-35.6449,0.3465,1.6883
SMRT,-0.1065,2.6300,3.6270,2.8410,-32913000.0000,174884992.0000,-0.2173,-0.4046,0.3450,,0.6224,-0.1700,180600656.0000,-1.3340,1.0327,0.0000,1.8570,192538000.0000,163270005.0000,-41.3000,19.5855,258.4944,-1.4856,-88.0572,7.1005,18.4291,2895196.6667,-1.6978,1.7733,18.4270
PAYS,0.1389,9.6190,1.0870,0.3080,22947120.0000,58384552.0000,0.1202,0.0297,0.5515,1.4000,4.2004,0.0700,128457008.0000,17.9570,2.2002,0.0000,0.2350,53747700.0000,28567964.0000,14.0000,,95.2631,0.4513,-86.0990,5.1397,8.3175,787016.6667,-43.7828,2.7549,10.1072
INZY,-1.0290,81.0590,3.5600,3.3500,-91907000.0000,,0.0000,0.0000,0.0000,,1.3611,-1.6200,78694248.0000,-0.2860,,0.0000,1.3450,64240200.0000,35838322.0000,,,69.6421,-1.2699,-52.8799,2.6823,7.0915,208456.6667,-61.3631,0.5817,7.0909
EVRG,0.0901,142.3090,0.5020,0.0760,1983699968.0000,5847300096.0000,0.4484,0.1737,0.5190,1.7143,1.6046,3.7900,15975553024.0000,11.5200,2.7321,0.6847,0.5050,230012992.0000,229204311.0000,5.9000,,27.9369,2.7836,-15.9225,1.8382,2.5399,2103610.0000,-67.4809,0.9178,1.1907
KMI,0.0845,103.9900,0.4460,0.2700,5608000000.0000,15498999808.0000,0.4242,0.2700,0.5026,2.1000,1.9495,1.1600,59681374208.0000,14.3180,3.8507,0.9914,0.7390,2222769920.0000,1938066140.0000,10.4000,,61.2096,-0.6415,-37.1566,2.5504,6.2762,6239210.0000,-47.6102,0.3219,2.3814
BDX,0.0589,76.3440,1.1270,0.4830,3300000000.0000,20867000320.0000,0.2671,0.1601,0.4632,2.2941,1.8735,5.1600,47287865344.0000,11.9240,2.2662,0.7713,0.3400,286607008.0000,285919556.0000,4.5000,5.7284,39.0523,-0.2198,-12.4153,1.5210,1.9917,5088076.6667,-75.4220,1.7795,1.1954
BGC,0.1246,136.8200,1.5590,1.5340,315350016.0000,2171742976.0000,0.0000,-0.0290,0.8969,,5.0296,0.2500,4623664640.0000,,2.1290,0.2800,1.0680,378486016.0000,355392621.0000,10.5000,,48.5839,-1.3111,-33.9258,3.2490,4.6857,456533.3333,-71.9897,0.1285,1.6546
