ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue,hist_volatility,sharpe_ratio,max_drawdown,stddev_returns,value_at_risk,avg_volume_30d,volume_growth,turnover_ratio,bid_ask_spread
COOP,0.1239,252.0250,1.7770,0.2490,-525000000.0000,2220999936.0000,0.8352,0.2500,1.0000,2.2222,1.5166,8.9800,7416547840.0000,10.2750,3.3393,0.0000,1.0630,63985400.0000,62857966.0000,-0.7000,,82.7016,-0.1723,-47.8645,2.7979,7.7126,893486.6667,-71.1936,1.4214,2.0906
XYL,0.0851,19.3230,1.8860,1.2960,1207000064.0000,8597999616.0000,0.2009,0.1213,0.3754,1.9000,2.7302,3.7100,29523343360.0000,17.9990,3.4337,0.3989,1.0970,243351008.0000,241713259.0000,1.8000,2.7066,80.2167,0.6345,-39.9844,2.5293,7.3717,2388650.0000,-73.6286,0.9882,4.3265
MBI,,,3.1320,3.0410,-176000000.0000,27000000.0000,0.0000,-0.4231,0.0000,2.5000,-0.1152,-9.3100,237749216.0000,,8.8055,0.0000,1.6120,50370600.0000,41440469.0000,-219.3548,,98.8183,-2.7262,-71.3569,4.2792,10.4319,1044540.0000,-24.8817,2.5206,3.7240
MAR,,,0.4030,0.3690,2748999936.0000,6617999872.0000,0.6434,0.4841,0.8187,2.4815,-23.2467,8.3300,69226012672.0000,19.5210,10.4603,0.2893,1.3890,275372992.0000,240863954.0000,2.9000,,43.2640,-1.4876,-26.0129,1.7365,4.0209,1380356.6667,-43.0610,0.5731,3.0176
ALSN,0.5015,395.8990,3.0510,2.2180,809000000.0000,3201999872.0000,0.3542,0.2733,0.4813,2.7000,15.6032,8.6400,8194200576.0000,8.7330,2.5591,0.1181,0.9640,84254800.0000,100944930.0000,20.4000,5.6136,60.3218,-0.7621,-26.4178,2.2222,5.4796,450343.3333,-10.0679,0.4461,1.9847
DHC,-0.1396,143.7540,14.3490,11.2360,80378000.0000,1511515008.0000,0.1574,-0.0124,0.1758,2.6667,0.3648,-1.5500,710440000.0000,12.7070,0.4700,0.0230,,241236000.0000,186291521.0000,4.3000,,55.5593,-0.6131,-61.1738,2.7170,5.1587,223930.0000,-45.6340,0.1202,4.0090
AVA,0.0709,121.5360,0.8510,0.3480,534000000.0000,1938000000.0000,0.3003,0.1863,0.5882,2.8333,1.2956,2.2900,3367332864.0000,11.1330,1.7375,0.8297,0.3990,80289296.0000,79347432.0000,2.9000,,38.4239,-0.7760,-24.0934,2.0410,3.7791,281726.6667,-63.6403,0.3551,2.6263
BBAI,-1.5002,56.2540,1.6630,1.6010,-30424000.0000,159872000.0000,-0.1988,-0.5613,0.2854,2.2500,4.4556,-0.8400,887427584.0000,-29.5250,5.5509,0.0000,3.0550,289052000.0000,287752777.0000,4.9000,11.9861,79.1362,-0.4446,-30.1811,3.5233,8.3829,309976.6667,-30.7967,0.1077,3.5814
ATI,0.2472,95.5050,2.5330,1.2210,413500000.0000,4463600128.0000,0.1592,0.1284,0.2133,1.3636,5.0829,2.7600,9519268864.0000,15.5230,2.1336,0.0000,1.0140,141068000.0000,139294359.0000,9.7000,,57.9903,-0.2539,-39.6944,2.4713,4.5005,1718376.6667,8.2336,1.2336,3.4211
AWR,0.1406,101.9760,0.8170,0.5620,198732000.0000,595459008.0000,0.3890,0.2840,0.5949,,3.3472,3.1700,3108406272.0000,17.0930,5.2202,0.5650,0.6360,38508500.0000,37810106.0000,14.3000,,44.8679,-0.6546,-35.7377,2.0661,3.8432,349910.0000,-68.5853,0.9254,1.8963
TOL,0.2033,36.7820,4.4060,0.2690,896374016.0000,10758023168.0000,0.1965,0.1278,0.2811,1.9474,1.3099,14.5100,10157490176.0000,5.9860,0.9442,0.0634,1.4430,99437000.0000,98686251.0000,-4.6000,,61.1300,0.2020,-43.4572,2.3522,4.7239,16839440.0000,-50.4555,17.0636,2.1713
CABO,-0.0109,200.7380,0.3640,0.2740,615710016.0000,1555831040.0000,0.4986,0.2662,0.7364,3.5000,0.5822,-3.6100,1033680640.0000,5.6530,0.6644,4.5736,1.0030,5627770.0000,5090935.0000,-5.9000,,45.4535,-1.7334,-36.6642,1.4421,4.6457,3295630.0000,-63.4836,64.7353,1.6859
VTS,0.0435,17.5230,0.7290,0.6330,133073000.0000,225476000.0000,0.6670,0.0787,0.7799,2.0000,1.2078,0.6400,765781248.0000,6.5180,3.3963,3.2422,,38578400.0000,30337195.0000,19.5000,,53.0604,-0.6621,-75.2981,3.5228,5.3714,495126.6667,-12.7945,1.6321,6.2814
DHT,0.1750,39.6650,1.8420,1.2030,298654016.0000,571772992.0000,0.4966,0.2509,0.5484,1.4286,1.7365,1.1200,1810052224.0000,7.5520,3.1657,0.8929,-0.0870,160608000.0000,125986634.0000,-8.4000,,46.4074,-2.9264,-24.6487,2.2376,5.4560,2130080.0000,10.1100,1.6907,5.5046
APAM,0.6080,59.5150,2.7540,2.6250,383692992.0000,1124598016.0000,0.3437,0.3122,0.4673,3.0000,7.8388,3.6400,2794571008.0000,7.7730,2.4850,0.8187,1.6530,70427696.0000,63098970.0000,4.8000,,39.9002,-0.9764,-28.1029,2.1162,4.5757,238953.3333,-48.1924,0.3787,2.0803
RDFN,,,1.1290,0.5320,-32307000.0000,1042979008.0000,-0.1024,-0.1194,0.3492,,-13.7232,-1.3600,1134341376.0000,-19.0270,1.0876,0.0000,2.5000,126389000.0000,121008898.0000,12.0000,14.3076,85.5192,-3.3823,-49.1372,3.0492,11.7579,1799016.6667,83.9721,1.4867,10.5263
CNR,0.1967,13.6290,1.5150,1.2010,476390016.0000,2193231104.0000,0.2528,0.0469,0.2957,,1.3861,9.6100,3950632192.0000,6.7810,1.8013,0.0520,0.6960,53444700.0000,52871027.0000,-8.2000,,37.5949,-1.4684,-17.7500,1.4683,3.9759,2021483.3333,-52.1282,3.8234,1.6008
KREF,0.0233,377.0360,12.7190,12.5990,113991000.0000,97478000.0000,0.0000,-0.5553,0.7638,1.8000,0.6221,0.1700,616698368.0000,,6.3265,5.8824,0.9940,67806304.0000,56515186.0000,-23.3000,,60.0500,-0.4803,-26.7697,2.4137,5.7356,95330.0000,-30.1059,0.1687,4.5158
CMI,0.2619,62.5510,1.3430,0.6770,1208000000.0000,33873000448.0000,0.1491,0.1227,0.2558,2.5417,3.7724,28.3600,41234407424.0000,9.5080,1.2173,0.2467,1.0140,137743008.0000,136895832.0000,-2.7000,4.2085,38.3392,0.3495,-19.9416,1.6089,3.3149,3588366.6667,-58.4636,2.6212,1.3457
IART,,128.5460,,,102369000.0000,1624307968.0000,0.1908,0.0024,0.5838,3.0833,0.6392,-0.3800,988798784.0000,8.8350,0.6088,0.0000,1.2710,77249904.0000,66097079.0000,3.7000,6.4623,46.1313,-2.9665,-64.6308,2.4497,5.5777,621596.6667,-41.7358,0.9404,5.5407
CCB,0.1278,,,,,322160000.0000,0.0000,0.1495,0.0000,1.2500,2.6341,3.3900,1185126400.0000,,3.6787,0.0000,0.9420,15009200.0000,12831837.0000,29.4000,,39.2690,0.3080,-38.5487,2.0191,3.6904,918833.3333,-2.5297,7.1606,2.4561
CVNA,0.8153,444.5820,3.6390,1.8590,918000000.0000,13672999936.0000,0.0947,0.0725,0.2103,2.2917,27.3821,1.5800,30274068480.0000,29.9940,2.2141,0.0000,3.6170,116947000.0000,130158180.0000,46.3000,,65.8605,-1.6745,-27.9733,2.5342,6.4420,1110506.6667,-55.8377,0.8532,2.0468
PPTA,-0.1599,0.0260,7.0140,6.9160,-11890427.0000,,0.0000,0.0000,0.0000,1.6000,9.7418,-0.2200,1075348224.0000,-19.8970,,0.0000,0.7940,71262304.0000,42205546.0000,,,81.8511,-5.2217,-78.9221,3.5714,8.6267,1022660.0000,232.1693,2.4230,10.7675
ANGI,0.0350,51.2940,2.1370,1.9560,155940992.0000,1185112064.0000,0.0933,0.0081,0.9518,2.3000,0.5231,0.7000,535365088.0000,6.2150,0.4517,0.0000,1.8420,47950300.0000,45249309.0000,-10.8000,8.4037,26.7763,-2.0617,-16.8027,1.5542,3.5038,296683.3333,-61.2833,0.6557,1.2297
UMBF,0.0833,,,,532163008.0000,1657117952.0000,0.0000,0.2486,0.0000,2.0000,1.1386,7.9500,7558065664.0000,,4.5610,0.1987,0.7340,75918496.0000,72805120.0000,22.9000,,93.7720,-0.4653,-51.7553,3.2979,8.5751,70090236.6667,-20.3577,96.2710,2.0029
ANDE,0.1096,56.3800,1.6460,0.7700,331505984.0000,11257547776.0000,0.0285,0.0219,0.0616,1.6667,0.8770,3.3200,1212983168.0000,5.6670,0.1077,0.2304,0.7360,34187800.0000,31918050.0000,-2.8000,,71.4257,-1.5571,-36.7257,2.7598,8.4315,356666.6667,-58.0853,1.1174,2.5205
DFH,0.2718,91.8220,6.8420,0.7400,-256648000.0000,4451606016.0000,0.1007,0.1057,0.1933,,1.6594,3.3400,2065399296.0000,7.4140,0.4640,0.0000,1.9510,35985200.0000,27963826.0000,37.1000,,55.5593,-0.6131,-61.1738,2.7170,5.1587,223930.0000,-45.6340,0.8008,4.0090
SNBR,,,0.1940,0.0180,-9228000.0000,1605107968.0000,0.0563,0.0049,0.6025,3.0000,-0.3303,-0.9500,150918256.0000,12.0940,0.0940,0.0000,1.7540,22660400.0000,18850854.0000,-16.4000,2.8271,73.2121,-4.0414,-81.4582,3.7050,10.4529,270083.3333,107.4684,1.4327,18.8976
SEI,0.0707,49.1100,1.6740,1.4120,68214000.0000,371532992.0000,0.3142,0.1746,0.4451,1.1667,2.3513,0.5000,1519070080.0000,12.6790,4.0887,0.9600,1.0150,39747100.0000,31228953.0000,86.1000,,97.5024,2.1531,-46.4660,2.9331,4.6776,2055816.6667,-10.2026,6.5830,2.5605
VTRS,-0.0324,76.7670,1.6470,0.7980,2302899968.0000,14739300352.0000,0.3042,0.1283,0.4165,2.5556,0.5496,-0.5300,10174678016.0000,5.2350,0.6903,9.6000,0.8850,1185859968.0000,1185511981.0000,-8.1000,5.8530,66.5175,-1.5149,-20.3285,2.1831,4.7379,1535743.3333,303.4586,0.1295,11.0598
NVST,-0.3133,38.9150,2.1180,1.6840,296500000.0000,2503899904.0000,0.1077,0.0799,0.5477,2.7143,0.9349,-6.5400,2805009920.0000,11.0550,1.1203,0.0000,0.9770,169468000.0000,168988721.0000,-1.1000,4.1012,47.8651,-0.5187,-29.7319,2.0402,4.3424,497576.6667,-64.8936,0.2944,4.8300
TRST,0.0763,,,,,173999008.0000,0.0000,0.4425,0.0000,,0.8660,2.6800,595641152.0000,,3.4232,0.5373,0.6520,19019700.0000,18415544.0000,10.4000,,79.3183,-2.4699,-28.8398,4.0053,10.4974,768870.0000,-69.3023,4.1751,1.8794
TAP,0.0861,47.2340,0.9350,0.5950,1910300032.0000,11626999808.0000,0.2130,0.1576,0.3899,2.5652,0.8825,5.3500,11532345344.0000,7.0190,0.9919,0.3290,0.7380,190292000.0000,182430422.0000,-2.0000,,41.4157,-1.1376,-20.8297,1.5130,3.2655,455646.6667,-16.4754,0.2498,2.0060
HGV,0.0257,406.2970,3.8250,2.2370,347000000.0000,4446000128.0000,0.1986,0.0867,0.2431,2.2222,2.2231,0.3200,3452141568.0000,11.7940,0.7765,0.0000,1.6100,91666000.0000,45252776.0000,-1.8000,,44.2436,-2.2220,-34.4757,2.3483,5.6099,1224213.3333,-43.4293,2.7053,2.8213
OBK,0.0675,,,,,351348000.0000,0.0000,0.3498,0.0000,1.8000,0.8572,2.4300,1011599488.0000,,2.8792,0.2469,0.7870,31244000.0000,29364054.0000,3.5000,,80.9519,-2.5369,-53.3541,2.9368,9.6257,2311703.3333,-32.3613,7.8726,3.3588
EWBC,0.1566,,,,,2407834112.0000,0.0000,0.6398,0.0000,1.9091,1.5109,8.3800,11980721152.0000,,4.9757,0.2685,0.8990,137800992.0000,136222789.0000,3.6000,,51.2578,-0.5460,-39.5491,2.1489,4.1247,968926.6667,-10.8564,0.7113,2.4440
HEI,0.1554,55.5780,3.4010,1.3050,763752000.0000,3991527936.0000,0.2628,0.2233,0.3910,2.0476,9.7352,4.0500,32055449600.0000,37.5860,8.0324,0.0543,1.0510,55025000.0000,118196864.0000,14.9000,,51.5053,0.4062,-46.8438,2.4868,4.4558,1740900.0000,-63.1092,1.4729,1.7018
CHPT,-1.1913,230.5900,1.9290,1.0910,-146947008.0000,417083008.0000,-0.5130,-0.5393,0.2437,2.8824,1.9292,-0.6400,266077312.0000,-1.6740,0.6379,0.0000,2.2240,458200992.0000,422795768.0000,-12.0000,29.8511,50.0963,-2.8443,-78.0405,2.8307,6.0620,494600.0000,-45.0402,0.1170,3.1655
SSD,0.1810,24.8610,3.1480,1.3650,,2240454912.0000,0.2354,0.1900,0.4612,2.0000,3.4543,7.6900,6448527360.0000,12.8650,2.8782,0.1458,1.3370,41974400.0000,41661878.0000,1.6000,4.8843,54.8173,-0.5073,-31.8040,2.1799,5.6047,654013.3333,-55.3198,1.5698,2.0778
VSAT,-0.0752,155.0850,1.7980,1.4090,841729984.0000,4522502144.0000,0.2951,0.0189,0.3208,2.4444,0.2480,-3.1300,1180815232.0000,5.4200,0.2611,0.0000,1.0170,129120000.0000,104468401.0000,-0.4000,3.2659,27.6096,0.1273,-14.0702,1.4066,2.9419,166313.3333,-71.7537,0.1592,2.0096
VMEO,0.0439,,1.5840,1.4710,49176000.0000,415129984.0000,0.0336,-0.0591,0.7802,2.2500,2.0158,0.1600,833680256.0000,38.8670,2.0082,0.0000,,165032992.0000,131956624.0000,-1.8000,30.2677,90.0793,-0.4190,-84.8784,5.2938,9.0773,4945063.3333,140.9356,3.7475,15.0772
AKAM,0.1066,95.0030,1.2330,1.1110,1519170944.0000,3991168000.0000,0.2796,0.1565,0.5939,1.9130,2.5451,3.2700,12092478464.0000,13.9150,3.0298,0.0000,0.8210,146115008.0000,147109760.0000,2.5000,11.7894,47.0771,-4.7755,-53.5445,1.7768,6.2148,1928956.6667,-52.5142,1.3112,2.6494
KRRO,-0.5060,27.9060,8.7920,8.5420,-60074000.0000,2271000.0000,0.0000,-10.1453,1.0000,1.4000,0.8955,-9.3700,143837952.0000,-0.9570,63.3368,0.0000,,9388900.0000,4913494.0000,,746.8956,101.6978,-2.4542,-77.5315,4.0100,12.2900,444683.3333,-23.0505,9.0502,16.7196
BRSP,-0.0673,229.6500,8.4380,0.7980,89329000.0000,340600000.0000,0.5671,0.5713,0.7171,2.1429,0.6533,-0.5600,675140864.0000,14.7630,1.9822,20.0000,1.6030,130462000.0000,116389060.0000,-19.0000,,155.9289,-1.0689,-69.2383,8.9974,12.6948,34273600.0000,-21.3296,29.4474,4.8876
AKBA,,,1.4070,1.0660,-40659000.0000,160180000.0000,-0.0543,-0.2172,0.8368,1.4000,-10.5251,-0.3300,602137472.0000,-79.2510,3.7591,0.0000,0.8760,261231008.0000,231036336.0000,-17.3000,25.3479,87.5820,-0.3030,-58.7379,3.2764,6.5757,2219463.3333,-87.3897,0.9607,4.6512
MTD,,,1.0130,0.6110,972808000.0000,3830156032.0000,0.3090,0.2519,0.6014,2.5714,-121.9769,40.0400,22196654080.0000,20.8590,5.7952,0.0000,1.3990,20782800.0000,20440078.0000,-4.6000,5.2443,65.4009,-1.2026,-43.2887,2.4541,6.1419,9334716.6667,-75.7623,45.6687,1.7500
ALEC,-0.9124,33.5320,3.3970,3.3060,-229904992.0000,100558000.0000,-1.3662,-0.1336,-0.8491,2.1111,0.8409,-1.2300,107632040.0000,1.8630,1.0703,0.0000,0.7550,99992600.0000,73524701.0000,257.1000,85.6582,91.1479,0.6483,-92.0065,6.2284,6.3711,172983.3333,-26.9654,0.2353,16.2963
FRME,0.0916,,,,269062016.0000,615411008.0000,0.0000,0.4419,0.0000,1.8333,0.9249,3.5500,2152111360.0000,,3.4970,0.3944,1.0260,58307000.0000,57397398.0000,2.9000,,85.8638,-0.5037,-62.2356,3.1264,6.1467,7531630.0000,-60.4356,13.1219,2.9932
BFAM,0.1263,131.9960,0.6030,0.4720,307339008.0000,2728830976.0000,0.1442,0.0936,0.2457,2.4000,5.4074,2.4000,7158491648.0000,22.6450,2.6233,0.0000,,57378100.0000,56913240.0000,6.9000,,53.4997,-2.5156,-61.9205,2.6523,6.2386,13743033.3333,-28.4199,24.1473,3.8462
ACAD,0.3889,7.0950,2.3760,2.1800,157719008.0000,957796992.0000,0.1046,0.0269,0.5979,2.1500,3.3258,1.3600,2438455040.0000,18.1820,2.5459,0.0000,0.4750,166788992.0000,114323521.0000,12.4000,38.8021,116.2261,-2.6190,-72.3180,4.2190,14.3156,2124433.3333,49.8185,1.8583,15.6758
ON,0.0785,41.8730,4.9490,3.0020,2010000000.0000,6665299968.0000,0.3007,-0.0238,0.3985,2.0323,2.0262,1.4400,16138718208.0000,8.2620,2.4213,0.0000,1.3920,417884992.0000,419387298.0000,-22.4000,11.3509,63.0597,-0.1630,-31.0289,2.9912,5.8475,6575536.6667,-40.2428,1.5679,3.3456
WOOF,-0.0886,265.7390,0.8550,0.1870,177672992.0000,6116462080.0000,0.0352,0.0169,0.3800,3.0000,0.7695,-0.3700,856977664.0000,17.0450,0.1401,0.0000,1.7380,239100000.0000,87343941.0000,-7.3000,,29.1282,2.2450,-55.4455,1.7541,3.0307,155260.0000,-84.1073,0.1778,1.1675
NEO,-0.0857,68.0850,2.0520,1.8250,7611000.0000,672361024.0000,0.0010,-0.1656,0.4430,1.9286,1.1633,-0.6100,1035994752.0000,1911.2110,1.5408,0.0000,1.6010,128695000.0000,120313917.0000,7.5000,6.0589,50.8631,-3.0049,-54.6271,2.8806,4.1997,210736.6667,-35.6449,0.1752,1.6883
BSX,0.0950,52.1630,1.4500,0.6760,3812000000.0000,17553999872.0000,0.2584,0.2009,0.6845,1.4412,6.9366,1.3700,154099515392.0000,36.4710,8.7786,0.0000,0.6880,1479069952.0000,1475111567.0000,20.9000,9.5003,37.0808,-1.0645,-46.4364,2.3115,4.4423,3967983.3333,-61.4284,0.2690,3.0122
USB,0.1153,,,,,25355999232.0000,0.0000,0.3571,0.0000,2.0870,1.2048,4.0400,64201797632.0000,,2.5320,0.4926,0.9920,1560000000.0000,1555366800.0000,4.2000,,37.8228,-2.1151,-19.4258,1.3366,3.9884,1695896.6667,1.7133,0.1090,2.2881
MQ,0.0234,0.5070,3.3680,3.2910,58170000.0000,506995008.0000,-0.0138,-0.2756,0.6940,2.3529,1.7797,0.0500,1801187712.0000,-116.9700,3.5527,0.0000,1.4100,436988992.0000,442370706.0000,14.3000,,45.5117,-1.4578,-34.4608,1.7076,3.8303,151493.3333,18.1194,0.0342,9.1904
IBM,0.2185,247.9780,1.0070,0.8490,13646999552.0000,62832001024.0000,0.2220,0.1240,0.5704,2.4091,8.6011,5.8600,231196786688.0000,20.1450,3.6796,1.1419,0.6290,929396992.0000,927361197.0000,0.5000,13.4104,41.1591,-1.1481,-20.7364,1.7198,5.2550,8983290.0000,-25.4072,0.9687,5.2836
PLD,0.0683,56.6430,0.6240,0.3220,5017502208.0000,8733704192.0000,0.7092,0.3996,0.7626,2.1250,1.8249,4.0100,97460068352.0000,21.7370,11.1591,0.9701,1.2680,927926016.0000,925095826.0000,8.8000,,34.1651,-4.9812,-43.4802,1.9039,4.4643,15274480.0000,10.0217,1.6511,4.9383
EVR,,47.5490,,,,3094265088.0000,0.0000,0.1600,0.9415,2.2500,4.6086,10.4700,7982006272.0000,,2.5796,0.3056,1.3840,38659400.0000,36647634.0000,19.6000,,71.6412,-1.1267,-35.9823,2.8098,6.4466,1377280.0000,-73.5668,3.7582,2.1345
NNOX,-0.2783,3.9370,5.6310,5.3690,-36598000.0000,11283000.0000,0.0000,-4.9647,-0.9403,,1.6441,-0.9100,310929024.0000,-5.6890,27.5573,0.0000,2.0210,63762000.0000,60985803.0000,25.2000,180.0333,44.5339,-1.4016,-61.8799,2.8503,3.3422,83226.6667,-27.6226,0.1365,2.8853
EVGO,-0.2575,20.3660,1.8430,1.6230,-7256000.0000,256824992.0000,-0.2608,-0.3613,0.3459,1.5385,-1.8655,-0.4100,1125737088.0000,-15.5690,4.3833,0.0000,2.2760,133523000.0000,119226758.0000,35.0000,,101.6978,-2.4542,-77.5315,4.0100,12.2900,444683.3333,-23.0505,0.3730,16.7196
CECO,0.1854,125.4410,1.7080,1.3710,11908000.0000,608297984.0000,0.0893,0.0312,0.3504,1.5000,3.1658,1.3000,905150656.0000,20.5360,1.4880,0.0000,1.3070,35267900.0000,29950947.0000,39.9000,,155.9289,-1.0689,-69.2383,8.9974,12.6948,34273600.0000,-21.3296,114.4324,4.8876
FOUR,0.2987,283.6610,1.3600,1.1040,481900000.0000,3471500032.0000,0.1482,0.0418,0.3002,1.5652,7.0624,2.9200,7322653696.0000,14.8020,2.1094,0.0000,1.8010,67471400.0000,57619025.0000,19.9000,,52.6349,-2.2566,-44.8536,1.8758,5.0004,2599986.6667,-7.4384,4.5124,2.7263
UNIT,,,0.7280,0.6740,366695008.0000,1166926976.0000,0.7565,0.5032,0.8465,2.5000,-0.4450,0.3800,1127861120.0000,7.8700,0.9665,0.7895,1.6010,245454000.0000,237405472.0000,2.7000,,128.4200,0.5934,-94.5277,6.0996,6.8587,6545886.6667,58.0290,2.7573,10.1340
LBRDA,0.0923,42.1900,2.1150,1.7900,104000000.0000,1016000000.0000,0.2943,0.0494,0.7471,,1.3392,6.0800,13275694080.0000,56.6650,13.0666,0.0000,1.0270,18252400.0000,122176728.0000,5.2000,,45.3337,2.0125,-45.9478,2.8418,3.8875,487723.3333,-36.2506,0.3992,3.5189
OTLK,,,0.3250,0.1180,-66729024.0000,,0.0000,0.0000,0.0000,,-0.7278,-2.4800,47935384.0000,-0.9040,,0.0000,0.3910,32620200.0000,20356522.0000,,,71.3305,-3.4989,-95.5800,4.6270,8.4656,3309923.3333,-65.4309,16.2598,3.7319
INN,0.0266,105.4420,0.2470,0.1890,164023008.0000,728118976.0000,0.3113,0.1075,0.4468,2.5000,0.4951,0.2000,467961568.0000,10.1330,0.6427,1.6000,1.6120,112221000.0000,96029340.0000,-1.9000,,60.0675,-1.7742,-54.9516,2.5410,6.2181,293593.3333,-55.3178,0.3057,3.1798
TSLA,0.0877,17.4070,1.9960,1.3760,16837000192.0000,95724003328.0000,0.1311,0.0255,0.1766,2.6042,11.8142,1.7400,882220597248.0000,70.0880,9.2163,0.0000,2.4340,3220960000.0000,2803455867.0000,-9.2000,7.2873,67.2140,-0.5153,-34.1508,2.2601,5.9831,20266873.3333,-71.3679,0.7229,1.5982
AMBP,,,1.0970,0.7600,478000000.0000,5034999808.0000,0.1249,0.0339,0.1229,2.8750,-9.0519,-0.0400,2082984320.0000,9.4030,0.4137,5.0000,0.5210,597699968.0000,143190989.0000,11.1000,,68.4104,-1.0179,-41.3772,2.2685,5.8276,160013.3333,-24.8016,0.1117,1.6141
AR,0.0379,51.3860,0.3870,0.3730,1045417024.0000,4609824768.0000,0.2245,0.1901,0.6558,2.1364,1.5172,0.7700,10929575936.0000,,2.3709,0.0000,0.6640,310940992.0000,294044227.0000,28.2000,,66.5175,-1.5149,-20.3285,2.1831,4.7379,1535743.3333,303.4586,0.5223,11.0598
IESC,0.3912,6.9190,1.6990,1.4630,237815008.0000,3127687936.0000,0.1209,0.1113,0.2456,,6.6540,11.9600,4688219648.0000,12.6470,1.4989,0.0000,1.5680,19854400.0000,8695043.0000,18.2000,,53.2023,-0.7397,-72.0941,3.1702,5.0526,2375703.3333,6.9286,27.3225,1.7831
KTB,0.6368,197.7630,2.7020,1.5090,368230016.0000,2607578112.0000,0.1630,0.1633,0.4514,2.2000,8.7516,4.3600,3502135808.0000,9.3370,1.3431,0.4633,1.0750,55326000.0000,54434745.0000,4.4000,,69.9412,-0.5774,-67.8094,6.9887,6.6445,1202346.6667,-57.7656,2.2088,6.5980
PZZA,,,0.8300,0.5100,106632000.0000,2059387008.0000,0.1284,0.0806,0.2023,2.2667,-2.6028,2.5400,1120129920.0000,7.9690,0.5439,0.7244,1.0820,32709300.0000,32334101.0000,-7.1000,,84.1338,-3.3579,-58.4193,4.7096,8.9062,1830276.6667,-65.8303,5.6605,2.8743
IBTA,0.2833,0.3390,2.8490,2.7930,115917000.0000,367254016.0000,0.0838,0.1332,0.8635,2.2222,3.1901,2.5600,1243388416.0000,38.4530,3.3856,0.0000,,26382100.0000,12408955.0000,-1.3000,16.0795,54.7851,1.0248,-64.9841,3.6573,4.2727,1133346.6667,246.2380,9.1333,14.4330
RIVN,-0.6045,76.2720,4.7010,3.6180,-1716000000.0000,4969999872.0000,-0.7360,-0.3812,-0.2415,2.5172,2.3103,-4.6900,15356296192.0000,-3.4530,3.0898,0.0000,1.8690,1138599936.0000,857952215.0000,31.9000,21.5686,51.8749,-2.7170,-52.3408,2.1602,5.3949,1866410.0000,-62.0466,0.2175,4.3632
BHE,0.0484,36.2150,2.3650,1.4160,172271008.0000,2612293888.0000,0.0578,0.0367,0.1017,2.0000,1.1217,1.4400,1239161984.0000,8.5970,0.4744,0.4688,0.9330,36095600.0000,35238653.0000,-6.5000,,93.4379,-1.6094,-62.4461,3.2043,10.7411,458123.3333,-64.3759,1.3001,3.1629
POWI,0.0429,2.0750,9.2930,5.9650,81181000.0000,418972992.0000,0.1253,0.0372,0.5364,,3.7762,0.5600,2831838208.0000,49.3790,6.7590,1.4464,1.3110,56847100.0000,55806296.0000,17.6000,24.4076,32.5827,0.0955,-28.2577,2.1334,3.1976,17421360.0000,22.9003,31.2176,2.5751
WH,0.5331,436.6150,0.9650,0.7200,273000000.0000,1416000000.0000,0.4209,0.3608,0.6744,1.5333,11.1693,4.2000,6383871488.0000,15.0270,4.5084,0.3690,1.0880,76997600.0000,75884256.0000,3.9000,,37.2823,1.3860,-37.3945,2.0351,2.4150,3761346.6667,-39.5780,4.9567,1.9193
EXPI,-0.0748,,1.4420,1.0830,191514000.0000,4567671808.0000,0.0066,-0.0056,0.0750,,6.5651,-0.1100,1326287360.0000,40.7090,0.2904,6.1667,2.6640,152010000.0000,86052669.0000,11.9000,1.3449,32.5576,0.8496,-23.5863,2.1207,3.0246,105906.6667,-60.4966,0.1231,1.8154
EOG,0.2090,17.1500,1.8670,1.6120,11528999936.0000,23478999040.0000,0.5172,0.3174,0.6182,2.0323,2.0399,10.8000,59616370688.0000,4.7510,2.5391,0.3431,0.7950,545787008.0000,543980455.0000,0.0000,,47.1984,0.4830,-32.9270,2.1180,3.5832,14676900.0000,-53.3471,2.6981,2.8079
XPEL,0.2244,9.3520,4.0550,1.2560,47824000.0000,420400000.0000,0.1685,0.1148,0.4219,,4.1548,1.6500,936690624.0000,11.3910,2.2281,0.0000,1.8320,27652200.0000,23745520.0000,1.9000,,100.5955,-1.0793,-86.3567,4.4837,9.5998,3530166.6667,-19.4959,14.8667,12.9199
BHR,0.0256,170.3200,0.5680,0.4190,66817000.0000,726796032.0000,0.1895,0.0141,0.2601,3.0000,0.5396,-0.7700,150669664.0000,12.4060,0.2073,0.3750,1.0760,67046500.0000,58760914.0000,-3.1000,,77.5864,-2.1963,-69.9142,3.1229,7.2405,92630.0000,-40.7869,0.1576,4.9943
BORR,0.0830,212.6040,1.2610,1.1370,77300000.0000,1010600000.0000,0.4997,0.3846,0.5614,1.6000,0.4254,0.3200,412808032.0000,4.8500,0.4085,0.8438,1.7640,239308992.0000,178845565.0000,19.3000,,56.9063,-2.7476,-58.3636,3.6174,5.5030,286276.6667,-44.8497,0.1601,4.2256
