,PC1,PC2,PC3,PC4,PC5
hist_volatility,0.5164470865550048,-0.06816595309966537,0.37487903667321637,0.2529362880022595,0.7239646066635178
beta,0.056531232129447884,0.9923106018886577,0.10711351976706886,0.023252551033539275,-0.010483411984620926
max_drawdown,-0.4808279527831131,-0.0553632679922072,0.6207055506943173,0.5872189139405426,-0.18878017593851712
stddev_returns,0.5063775792777463,-0.009516040920943363,-0.3638193657149816,0.6674799207809673,-0.4069363791245303
value_at_risk,0.49241532633538676,-0.08670308956316686,0.5747629861204387,-0.38095545086898824,-0.5239562719248033
