,PC1,PC2,PC3,PC4
eps,0.690677021164522,-0.029957040431660493,0.07929341259013865,0.7181785174200691
market_cap,0.6565076457129758,-0.08248133340627532,0.33336001383120895,-0.6716142061767194
price_to_sales,-0.11137559271918057,0.807003868145831,0.5747721027944354,0.0773127673374978
payout_ratio,-0.28206105881911375,-0.5839898647800028,0.7431155265149095,0.16485360531254536
