,0
PC1,0.18703695366097095
PC2,0.13879459729547877
PC3,0.07595081187562508
PC4,0.06105642324011533
PC5,0.05645217258651394
PC6,0.051834148452077934
PC7,0.05022709230974138
PC8,0.047051824605725996
PC9,0.04477849080268835
PC10,0.04343252605244199
PC11,0.03951466247503363
PC12,0.03609822444226353
PC13,0.03482731659850184
PC14,0.03016979598227244
PC15,0.027354751039763044
PC16,0.02240274495037625
PC17,0.021212886490201463
PC18,0.011075363718049385
PC19,0.010312813838737719
PC20,0.006171625534034073
PC21,0.004244774049387373
