,PC1,PC2,PC3,PC4
avg_volume_30d,0.6748115943697442,0.212402381186222,0.10458465651891725,-0.6989825392607505
bid_ask_spread,-0.23539256226704125,0.6392266082153416,0.7281569869240714,0.07594134165607723
volume_growth,-0.12746617719957581,0.7247979891297769,-0.6770548829443209,-0.004115106901442324
float_shares,0.6877296179485417,0.1447150537068099,0.021121967136845145,0.7110832499301738
