ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue
SMP,0.08941,118.204,2.323,0.757,62189000.0,1545825024.0,0.11644,0.0833,0.29662,1.5,0.9704372,2.58,619094912.0,7.517,0.4004948,0.45740002,0.619,21981000.0,20871421.0,24.7,
FUN,-0.24303,227.286,0.432,0.268,373412000.0,2708925952.0,0.29808,0.11853,0.40618,1.5,1.7403057,-3.22,3579986432.0,11.065,1.3215519,0.5,0.832,101101000.0,92516921.0,85.2,
GDEN,0.10026,106.287,1.028,0.702,92344000.0,666817984.0,0.20261,0.084359996,0.54127,1.42857,1.4255366,1.71,674100160.0,8.382,1.0109208,0.5848,1.855,26435300.0,19609662.0,-28.799999999999997,
FIHL,0.04626,21.251,1.232,0.66,618200000.0,2420000000.0,0.06979,-0.20525,0.1093,,0.7657206,0.98,1857193728.0,9.76,0.76743543,0.4082,,110679000.0,62448882.0,21.7,
APD,0.095790006,98.527,0.996,0.77,3358200064.0,12020700160.0,0.35811,0.21184999,0.31947002,2.0,4.0781746,6.94,59963371520.0,18.022,4.988343,1.0231,0.89,222544000.0,221442620.0,-0.5,0.7852685001028736
SMG,,,1.707,0.806,,3454700032.0,0.14105,0.25524,0.28775,1.63636,-10.959095,0.58,3178944000.0,11.831,0.9201795,4.5517,1.954,57600000.0,43727040.0,-6.800000000000001,1.8234165067178503
DMRC,-0.60083,10.003,2.702,2.45,-23636000.0,37848000.0,-0.92015,-1.28939,0.75819,,5.305771,-1.83,265472592.0,-8.017,7.0141773,0.0,,21548100.0,13865335.0,-5.7,73.18087318087319
IOVA,-0.57478,8.201,3.736,3.213,-352976992.0,164070000.0,-2.2070398,-1.1748,0.24426001,1.46154,1.390202,-1.28,1080276480.0,-2.436,6.5842414,0.0,1.063,333934016.0,251861761.0,15189.199999999999,98.0052650147909
ORC,0.05235,749.946,0.068,0.068,47760000.0,52240000.0,0.0,0.80204004,0.93304,2.5,0.872686,0.37,739243840.0,,14.150916,3.8919,1.551,106673000.0,106451509.0,-9.2,
ABUS,-0.68757004,6.284,8.152,8.025,-64850000.0,6171000.0,0.0,-9.95426,0.0,,6.578947,-0.38,646244992.0,-7.683,104.72289,0.0,1.499,191480000.0,136309001.0,-26.6,559.720457433291
PRKS,,,0.655,0.473,480139008.0,1725300992.0,0.37437,0.25562,0.50411,,-5.296853,3.79,2444938496.0,7.404,1.4171084,0.0,1.512,55029000.0,27224514.0,-1.2,
SBH,0.29393,236.287,2.273,0.347,228964992.0,3723623936.0,0.10548,0.0769,0.51025003,,1.2360336,1.66,812063616.0,5.762,0.21808422,0.0,1.327,101954000.0,100941020.0,0.7000000000000001,
SCL,0.046529997,54.917,1.213,0.736,,2222110976.0,0.08514,0.047059998,0.12483,2.5,1.0148377,2.45,1201725056.0,9.392,0.5408034,0.6204,0.998,22554900.0,21555120.0,7.6,2.624194030163106
MKC,0.14659001,79.045,0.649,0.2,899000000.0,6726499840.0,0.18739,0.14145,0.38589,2.5625,3.6936848,2.9,20032456704.0,19.378,2.9781399,0.5897,0.738,252682000.0,264298345.0,0.2,
MTSI,-0.094890006,46.915,3.606,2.747,196200000.0,790552000.0,0.18941,0.08035,0.53578997,1.75,7.197746,-1.43,8284092928.0,55.678,10.478871,0.0,1.363,74339800.0,63080253.0,38.800000000000004,27.676713032156314
TDY,0.086210005,29.853,2.185,1.294,1143500032.0,5769800192.0,0.24148001,0.18298,0.42885,1.54545,2.2529292,17.47,22364305408.0,17.901,3.876097,0.0,1.066,46859300.0,46317652.0,7.3999999999999995,5.124491344230637
GSHD,,,2.789,2.188,74961000.0,324756992.0,0.23622999,0.08522,0.44837,2.6,-28.580929,1.2,3790717440.0,35.79,11.672474,0.0,1.443,25057900.0,24575543.0,17.4,
CAKE,,430.307,,,,3617672960.0,0.0848,0.05752,0.39648,2.47368,5.696261,3.19,2433380352.0,13.149,0.6726369,0.3386,1.106,49448900.0,40329679.0,4.0,
CEG,0.30115,66.438,1.574,1.114,-2464000000.0,23567998976.0,0.29587,0.16481,0.25416002,1.625,6.5583396,11.89,86432833536.0,12.049,3.667381,0.118599996,1.009,313310016.0,312068267.0,-7.1,
SPOT,0.24404,34.865,1.484,1.3,2628999936.0,16227000320.0,0.111049995,0.121479996,0.31201,1.975,20.747087,6.31,129607696384.0,69.909,7.987163,0.0,1.722,205056000.0,155030790.0,15.2,9.045346062052506
OPK,-0.03042,37.577,2.493,1.803,-182476992.0,689408000.0,-0.25154,-0.44792998,0.15222,1.85714,0.6579621,-0.06,1019073088.0,-6.589,1.4781858,0.0,1.419,793052992.0,375137767.0,-13.700000000000001,20.567248186086214
MHO,0.19022,32.673,8.235,1.521,128851000.0,4434059776.0,0.15245,0.14165,0.26045,1.0,0.96543807,18.91,2903631872.0,4.679,0.65484726,0.0,1.754,26783800.0,25828408.0,-6.7,
IMVT,-0.74170995,0.007,6.039,5.517,-324936000.0,,0.0,0.0,0.0,1.6,5.876827,-2.62,2390793472.0,-5.46,,0.0,0.749,169860992.0,62204681.0,,
STR,0.027309999,32.328,2.815,2.637,462428000.0,624414016.0,0.83134,0.30794,0.92572,2.16667,0.9167834,0.49,2574769664.0,8.297,4.1234975,3.0612,1.334,77977200.0,71140457.0,3.8,
HIPO,-0.07628,2.738,1.088,0.549,47500000.0,372100000.0,-0.19268999,-0.01276,0.43832,,1.6234033,-1.64,594664192.0,-3.513,1.5981301,0.0,1.498,25155000.0,17773402.0,57.99999999999999,
FND,0.09743,87.924,1.222,0.233,526808992.0,4519221248.0,0.10809,0.05501,0.44208,2.41667,3.5663779,1.89,7923568128.0,19.917,1.7533039,0.0,1.796,107606000.0,106055384.0,5.800000000000001,
CPF,0.10939,,,,93963000.0,247706000.0,0.0,0.34896,0.0,3.0,1.2958198,2.14,719986816.0,,2.9066184,0.4907,0.99,26975900.0,26308544.0,12.4,
KIND,-0.19379,8.985,16.701,16.395,-20202000.0,247276000.0,-0.37271,-0.26118,0.83075994,,1.2658229,-0.25,570877504.0,-2.096,2.3086653,0.0,1.164,232703008.0,177088396.0,17.4,51.54381553933894
ORGO,0.00259,11.241,3.691,3.172,14208000.0,482043008.0,0.079959996,0.08068,0.75988996,,2.5035868,-0.01,664080704.0,18.28,1.3776379,0.0,1.852,126854000.0,55551973.0,27.1,9.103398180899443
