iShares Russell 3000 ETF
Fund Holdings as of,"May 05, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CART","MAPLEBEAR INC","Consumer Staples","Equity","2,181,632.61","0.01","2,181,632.61","46,329.00","47.09","United States","NASDAQ","USD","1.00","USD","-"
"AYI","ACUITY INC","Industrials","Equity","2,176,974.92","0.01","2,176,974.92","8,621.00","252.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEIC","SEI INVESTMENTS","Financials","Equity","2,167,093.46","0.01","2,167,093.46","27,109.00","79.94","United States","NASDAQ","USD","1.00","USD","-"
"SKX","SKECHERS USA INC CLASS A","Consumer Discretionary","Equity","2,160,007.15","0.01","2,160,007.15","35,185.00","61.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","Financials","Equity","2,156,076.66","0.01","2,156,076.66","20,429.00","105.54","United States","NASDAQ","USD","1.00","USD","-"
"MORN","MORNINGSTAR INC","Financials","Equity","2,150,462.90","0.01","2,150,462.90","7,286.00","295.15","United States","NASDAQ","USD","1.00","USD","-"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Real Estate","Equity","2,138,638.00","0.01","2,138,638.00","22,600.00","94.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXP","EAGLE MATERIALS INC","Materials","Equity","2,134,066.50","0.01","2,134,066.50","9,085.00","234.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PR","PERMIAN RESOURCES CORP CLASS A","Energy","Equity","2,134,289.52","0.01","2,134,289.52","179,654.00","11.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXS","AXIS CAPITAL HOLDINGS LTD","Financials","Equity","2,126,246.50","0.01","2,126,246.50","21,350.00","99.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GMED","GLOBUS MEDICAL INC CLASS A","Health Care","Equity","2,125,152.00","0.01","2,125,152.00","30,144.00","70.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","2,123,944.20","0.01","2,123,944.20","50,715.00","41.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","2,122,318.00","0.01","2,122,318.00","192,938.00","11.00","United States","NASDAQ","USD","1.00","USD","-"
"LAD","LITHIA MOTORS INC CLASS A","Consumer Discretionary","Equity","2,122,803.72","0.01","2,122,803.72","7,113.00","298.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","2,120,212.64","0.01","2,120,212.64","23,192.00","91.42","United States","NASDAQ","USD","1.00","USD","-"
"WING","WINGSTOP INC","Consumer Discretionary","Equity","2,116,607.64","0.01","2,116,607.64","7,862.00","269.22","United States","NASDAQ","USD","1.00","USD","-"
"CBSH","COMMERCE BANCSHARES INC","Financials","Equity","2,112,355.02","0.01","2,112,355.02","33,706.00","62.67","United States","NASDAQ","USD","1.00","USD","-"
"MTCH","MATCH GROUP INC","Communication","Equity","2,106,122.70","0.01","2,106,122.70","69,509.00","30.30","United States","NASDAQ","USD","1.00","USD","-"
"ALAB","ASTERA LABS INC","Information Technology","Equity","2,106,491.40","0.01","2,106,491.40","29,196.00","72.15","United States","NASDAQ","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","2,104,448.40","0.01","2,104,448.40","42,258.00","49.80","United States","NASDAQ","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","2,102,747.10","0.01","2,102,747.10","9,519.00","220.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADC","AGREE REALTY REIT CORP","Real Estate","Equity","2,098,309.22","0.01","2,098,309.22","27,454.00","76.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RKLB","ROCKET LAB USA INC CLASS A","Industrials","Equity","2,091,808.96","0.01","2,091,808.96","93,052.00","22.48","United States","NASDAQ","USD","1.00","USD","-"
"NNN","NNN REIT INC","Real Estate","Equity","2,078,891.82","0.01","2,078,891.82","49,158.00","42.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGEN","REPLIGEN CORP","Health Care","Equity","2,080,120.12","0.01","2,080,120.12","14,761.00","140.92","United States","NASDAQ","USD","1.00","USD","-"
"FND","FLOOR DECOR HOLDINGS INC CLASS A","Consumer Discretionary","Equity","2,077,624.00","0.01","2,077,624.00","28,076.00","74.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AGNC","AGNC INVESTMENT REIT CORP","Financials","Equity","2,076,400.32","0.01","2,076,400.32","237,032.00","8.76","United States","NASDAQ","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","2,060,332.00","0.01","2,060,332.00","17,425.00","118.24","United States","NASDAQ","USD","1.00","USD","-"
"MEDP","MEDPACE HOLDINGS INC","Health Care","Equity","2,056,854.05","0.01","2,056,854.05","6,845.00","300.49","United States","NASDAQ","USD","1.00","USD","-"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","2,055,776.80","0.01","2,055,776.80","23,216.00","88.55","Peru","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAL","WESTERN ALLIANCE","Financials","Equity","2,051,636.91","0.01","2,051,636.91","28,491.00","72.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS INC","Health Care","Equity","2,050,756.16","0.01","2,050,756.16","18,992.00","107.98","United States","NASDAQ","USD","1.00","USD","-"
"BRX","BRIXMOR PROPERTY GROUP REIT INC","Real Estate","Equity","2,046,314.60","0.01","2,046,314.60","80,882.00","25.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFG","NATIONAL FUEL GAS","Utilities","Equity","2,038,988.22","0.01","2,038,988.22","24,742.00","82.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXTA","AXALTA COATING SYSTEMS LTD","Materials","Equity","2,037,248.13","0.01","2,037,248.13","61,197.00","33.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROKU","ROKU INC CLASS A","Communication","Equity","2,033,193.42","0.01","2,033,193.42","33,651.00","60.42","United States","NASDAQ","USD","1.00","USD","-"
"EVR","EVERCORE INC CLASS A","Financials","Equity","2,030,350.21","0.01","2,030,350.21","9,583.00","211.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Consumer Discretionary","Equity","2,020,374.18","0.01","2,020,374.18","116,314.00","17.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMA","COMERICA INC","Financials","Equity","2,020,490.64","0.01","2,020,490.64","36,216.00","55.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HALO","HALOZYME THERAPEUTICS INC","Health Care","Equity","2,021,010.18","0.01","2,021,010.18","33,339.00","60.62","United States","NASDAQ","USD","1.00","USD","-"
"CFR","CULLEN FROST BANKERS INC","Financials","Equity","2,017,883.88","0.01","2,017,883.88","16,318.00","123.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LW","LAMB WESTON HOLDINGS INC","Consumer Staples","Equity","2,005,387.71","0.01","2,005,387.71","39,099.00","51.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS INC","Information Technology","Equity","2,003,610.00","0.01","2,003,610.00","11,515.00","174.00","United States","NASDAQ","USD","1.00","USD","-"
"TTC","TORO","Industrials","Equity","2,000,001.27","0.01","2,000,001.27","28,173.00","70.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COOP","MR COOPER GROUP INC","Financials","Equity","1,996,887.06","0.01","1,996,887.06","16,989.00","117.54","United States","NASDAQ","USD","1.00","USD","-"
"KD","KYNDRYL HOLDINGS INC","Information Technology","Equity","1,995,537.95","0.01","1,995,537.95","59,515.00","33.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZEK","AZEK COMPANY INC CLASS A","Industrials","Equity","1,987,066.08","0.01","1,987,066.08","39,933.00","49.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTFC","WINTRUST FINANCIAL CORP","Financials","Equity","1,987,776.76","0.01","1,987,776.76","17,261.00","115.16","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","1,985,002.14","0.01","1,985,002.14","15,063.00","131.78","United States","NASDAQ","USD","1.00","USD","-"
"DOCS","DOXIMITY INC CLASS A","Health Care","Equity","1,983,091.49","0.01","1,983,091.49","33,391.00","59.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MGM","MGM RESORTS INTERNATIONAL","Consumer Discretionary","Equity","1,976,377.89","0.01","1,976,377.89","61,627.00","32.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MIDD","MIDDLEBY CORP","Industrials","Equity","1,977,378.45","0.01","1,977,378.45","14,515.00","136.23","United States","NASDAQ","USD","1.00","USD","-"
"REXR","REXFORD INDUSTRIAL REALTY REIT INC","Real Estate","Equity","1,968,409.19","0.01","1,968,409.19","57,539.00","34.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Health Care","Equity","1,960,772.10","0.01","1,960,772.10","16,590.00","118.19","United States","NASDAQ","USD","1.00","USD","-"
"AES","AES CORP","Utilities","Equity","1,959,147.00","0.01","1,959,147.00","190,950.00","10.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESTC","ELASTIC NV","Information Technology","Equity","1,956,859.78","0.01","1,956,859.78","23,503.00","83.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAVA","CAVA GROUP INC","Consumer Discretionary","Equity","1,947,085.44","0.01","1,947,085.44","20,316.00","95.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSCC","LATTICE SEMICONDUCTOR CORP","Information Technology","Equity","1,933,728.06","0.01","1,933,728.06","36,861.00","52.46","United States","NASDAQ","USD","1.00","USD","-"
"RRX","REGAL REXNORD CORP","Industrials","Equity","1,930,341.12","0.01","1,930,341.12","17,504.00","110.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BPOP","POPULAR INC","Financials","Equity","1,924,241.64","0.01","1,924,241.64","19,343.00","99.48","United States","NASDAQ","USD","1.00","USD","-"
"AUR","AURORA INNOVATION INC CLASS A","Information Technology","Equity","1,922,438.00","0.01","1,922,438.00","247,100.00","7.78","United States","NASDAQ","USD","1.00","USD","-"
"BFAM","BRIGHT HORIZONS FAMILY SOLUTIONS I","Consumer Discretionary","Equity","1,914,601.54","0.01","1,914,601.54","15,097.00","126.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTSI","MACOM TECHNOLOGY SOLUTIONS INC","Information Technology","Equity","1,910,723.44","0.01","1,910,723.44","16,802.00","113.72","United States","NASDAQ","USD","1.00","USD","-"
"WCC","WESCO INTERNATIONAL INC","Industrials","Equity","1,909,294.37","0.01","1,909,294.37","11,743.00","162.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UGI","UGI CORP","Utilities","Equity","1,905,410.88","0.01","1,905,410.88","56,844.00","33.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OLLI","OLLIES BARGAIN OUTLET HOLDINGS INC","Consumer Discretionary","Equity","1,901,188.64","0.01","1,901,188.64","17,134.00","110.96","United States","NASDAQ","USD","1.00","USD","-"
"EXLS","EXLSERVICE HOLDINGS INC","Industrials","Equity","1,899,995.50","0.01","1,899,995.50","40,825.00","46.54","United States","NASDAQ","USD","1.00","USD","-"
"KBR","KBR INC","Industrials","Equity","1,894,269.24","0.01","1,894,269.24","36,732.00","51.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MASI","MASIMO CORP","Health Care","Equity","1,889,664.58","0.01","1,889,664.58","11,603.00","162.86","United States","NASDAQ","USD","1.00","USD","-"
"AAL","AMERICAN AIRLINES GROUP INC","Industrials","Equity","1,875,467.10","0.01","1,875,467.10","175,935.00","10.66","United States","NASDAQ","USD","1.00","USD","-"
"BBWI","BATH AND BODY WORKS INC","Consumer Discretionary","Equity","1,871,987.12","0.01","1,871,987.12","61,741.00","30.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESAB","ESAB CORP","Industrials","Equity","1,868,758.57","0.01","1,868,758.57","15,239.00","122.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QRVO","QORVO INC","Information Technology","Equity","1,861,633.28","0.01","1,861,633.28","26,324.00","70.72","United States","NASDAQ","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","1,861,179.78","0.01","1,861,179.78","8,142.00","228.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZION","ZIONS BANCORPORATION","Financials","Equity","1,855,396.50","0.01","1,855,396.50","39,901.00","46.50","United States","NASDAQ","USD","1.00","USD","-"
"SAIA","SAIA INC","Industrials","Equity","1,852,663.35","0.01","1,852,663.35","7,149.00","259.15","United States","NASDAQ","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","1,840,422.00","0.01","1,840,422.00","18,222.00","101.00","United States","NASDAQ","USD","1.00","USD","-"
"SLM","SLM CORP","Financials","Equity","1,840,837.65","0.01","1,840,837.65","58,495.00","31.47","United States","NASDAQ","USD","1.00","USD","-"
"AWI","ARMSTRONG WORLD INDUSTRIES INC","Industrials","Equity","1,834,466.40","0.01","1,834,466.40","12,220.00","150.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCOR","PROCORE TECHNOLOGIES INC","Information Technology","Equity","1,832,633.55","0.01","1,832,633.55","28,347.00","64.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","1,827,968.67","0.01","1,827,968.67","37,543.00","48.69","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","1,829,106.52","0.01","1,829,106.52","12,394.00","147.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GNRC","GENERAC HOLDINGS INC","Industrials","Equity","1,826,539.00","0.01","1,826,539.00","15,665.00","116.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RYAN","RYAN SPECIALTY HOLDINGS INC CLASS","Financials","Equity","1,827,699.58","0.01","1,827,699.58","27,013.00","67.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OLED","UNIVERSAL DISPLAY CORP","Information Technology","Equity","1,822,044.84","0.01","1,822,044.84","12,722.00","143.22","United States","NASDAQ","USD","1.00","USD","-"
"CPB","CAMPBELL SOUP","Consumer Staples","Equity","1,821,304.62","0.01","1,821,304.62","51,189.00","35.58","United States","NASDAQ","USD","1.00","USD","-"
"SSD","SIMPSON MANUFACTURING INC","Industrials","Equity","1,810,759.28","0.01","1,810,759.28","11,708.00","154.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTG","MGIC INVESTMENT CORP","Financials","Equity","1,811,316.36","0.01","1,811,316.36","69,559.00","26.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRN","STRIDE INC","Consumer Discretionary","Equity","1,807,617.84","0.01","1,807,617.84","11,247.00","160.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","1,807,090.66","0.01","1,807,090.66","31,189.00","57.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COKE","COCA COLA CONSOLIDATED INC","Consumer Staples","Equity","1,803,678.50","0.01","1,803,678.50","1,586.00","1,137.25","United States","NASDAQ","USD","1.00","USD","-"
"U","UNITY SOFTWARE INC","Information Technology","Equity","1,803,694.70","0.01","1,803,694.70","84,010.00","21.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","1,788,457.19","0.01","1,788,457.19","84,401.00","21.19","United States","NASDAQ","USD","1.00","USD","-"
"FBIN","FORTUNE BRANDS INNOVATIONS INC","Industrials","Equity","1,788,754.16","0.01","1,788,754.16","32,936.00","54.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BROS","DUTCH BROS INC CLASS A","Consumer Discretionary","Equity","1,783,396.56","0.01","1,783,396.56","29,546.00","60.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRMB","PRIMO BRANDS CLASS A CORP","Consumer Staples","Equity","1,779,067.74","0.01","1,779,067.74","53,538.00","33.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVA","DAVITA INC","Health Care","Equity","1,777,694.49","0.01","1,777,694.49","12,557.00","141.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VNO","VORNADO REALTY TRUST REIT","Real Estate","Equity","1,766,750.00","0.01","1,766,750.00","47,750.00","37.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHDN","CHURCHILL DOWNS INC","Consumer Discretionary","Equity","1,763,765.24","0.01","1,763,765.24","19,444.00","90.71","United States","NASDAQ","USD","1.00","USD","-"
"RVMD","REVOLUTION MEDICINES INC","Health Care","Equity","1,764,550.09","0.01","1,764,550.09","44,341.00","39.80","United States","NASDAQ","USD","1.00","USD","-"
"AAON","AAON INC","Industrials","Equity","1,750,587.24","0.01","1,750,587.24","17,697.00","98.92","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","1,748,604.85","0.01","1,748,604.85","11,345.00","154.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","Industrials","Equity","1,749,547.78","0.01","1,749,547.78","42,403.00","41.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XP","XP CLASS A INC","Financials","Equity","1,745,580.06","0.01","1,745,580.06","109,854.00","15.89","Brazil","NASDAQ","USD","1.00","USD","-"
"PB","PROSPERITY BANCSHARES INC","Financials","Equity","1,744,898.40","0.01","1,744,898.40","24,920.00","70.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BPMC","BLUEPRINT MEDICINES CORP","Health Care","Equity","1,734,555.55","0.01","1,734,555.55","17,033.00","101.83","United States","NASDAQ","USD","1.00","USD","-"
"GPK","GRAPHIC PACKAGING HOLDING","Materials","Equity","1,735,004.32","0.01","1,735,004.32","78,436.00","22.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PARA","PARAMOUNT GLOBAL CLASS B","Communication","Equity","1,732,275.00","0.01","1,732,275.00","153,980.00","11.25","United States","NASDAQ","USD","1.00","USD","-"
"RLI","RLI CORP","Financials","Equity","1,729,632.52","0.01","1,729,632.52","23,254.00","74.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TREX","TREX INC","Industrials","Equity","1,725,776.95","0.01","1,725,776.95","28,739.00","60.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","1,724,160.78","0.01","1,724,160.78","29,493.00","58.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CORT","CORCEPT THERAPEUTICS INC","Health Care","Equity","1,715,481.94","0.01","1,715,481.94","23,201.00","73.94","United States","NASDAQ","USD","1.00","USD","-"
"DBX","DROPBOX INC CLASS A","Information Technology","Equity","1,713,471.48","0.01","1,713,471.48","59,126.00","28.98","United States","NASDAQ","USD","1.00","USD","-"
"SNV","SYNOVUS FINANCIAL CORP","Financials","Equity","1,712,243.52","0.01","1,712,243.52","37,848.00","45.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAF","FIRST AMERICAN FINANCIAL CORP","Financials","Equity","1,708,626.57","0.01","1,708,626.57","27,769.00","61.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMI","VALMONT INDS INC","Industrials","Equity","1,703,107.45","0.01","1,703,107.45","5,555.00","306.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BWA","BORGWARNER INC","Consumer Discretionary","Equity","1,702,062.75","0.01","1,702,062.75","57,795.00","29.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FR","FIRST INDUSTRIAL REALTY TRUST INC","Real Estate","Equity","1,696,223.76","0.01","1,696,223.76","34,716.00","48.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STAG","STAG INDUSTRIAL REIT INC","Real Estate","Equity","1,696,528.96","0.01","1,696,528.96","50,372.00","33.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WH","WYNDHAM HOTELS RESORTS INC","Consumer Discretionary","Equity","1,692,966.08","0.01","1,692,966.08","20,128.00","84.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLS","FLOWSERVE CORP","Industrials","Equity","1,690,987.20","0.01","1,690,987.20","35,826.00","47.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AA","ALCOA CORP","Materials","Equity","1,689,442.23","0.01","1,689,442.23","67,389.00","25.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLNE","HAMILTON LANE INC CLASS A","Financials","Equity","1,686,130.18","0.01","1,686,130.18","10,514.00","160.37","United States","NASDAQ","USD","1.00","USD","-"
"ARW","ARROW ELECTRONICS INC","Information Technology","Equity","1,686,185.05","0.01","1,686,185.05","14,465.00","116.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDA","IDACORP INC","Utilities","Equity","1,682,143.50","0.01","1,682,143.50","14,439.00","116.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONTO","ONTO INNOVATION INC","Information Technology","Equity","1,680,384.51","0.01","1,680,384.51","13,509.00","124.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Health Care","Equity","1,659,618.80","0.01","1,659,618.80","13,895.00","119.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","1,654,548.20","0.01","1,654,548.20","37,732.00","43.85","United States","NASDAQ","USD","1.00","USD","-"
"KEX","KIRBY CORP","Industrials","Equity","1,649,692.46","0.01","1,649,692.46","15,782.00","104.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","1,641,525.73","0.01","1,641,525.73","16,463.00","99.71","United States","NASDAQ","USD","1.00","USD","-"
"BEN","FRANKLIN RESOURCES INC","Financials","Equity","1,621,810.50","0.01","1,621,810.50","81,050.00","20.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STWD","STARWOOD PROPERTY TRUST REIT INC","Financials","Equity","1,614,976.95","0.01","1,614,976.95","84,333.00","19.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OSK","OSHKOSH CORP","Industrials","Equity","1,615,847.52","0.01","1,615,847.52","18,032.00","89.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","1,609,647.54","0.01","1,609,647.54","36,237.00","44.42","United States","NASDAQ","USD","1.00","USD","-"
"CELH","CELSIUS HOLDINGS INC","Consumer Staples","Equity","1,606,928.24","0.01","1,606,928.24","47,416.00","33.89","United States","NASDAQ","USD","1.00","USD","-"
"SAIC","SCIENCE APPLICATIONS INTERNATIONAL","Industrials","Equity","1,603,810.01","0.01","1,603,810.01","13,639.00","117.59","United States","NASDAQ","USD","1.00","USD","-"
"ALK","ALASKA AIR GROUP INC","Industrials","Equity","1,600,098.50","0.01","1,600,098.50","32,890.00","48.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"THG","HANOVER INSURANCE GROUP INC","Financials","Equity","1,599,083.28","0.01","1,599,083.28","9,498.00","168.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CZR","CAESARS ENTERTAINMENT INC","Consumer Discretionary","Equity","1,599,557.06","0.01","1,599,557.06","57,913.00","27.62","United States","NASDAQ","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","1,596,448.84","0.01","1,596,448.84","27,086.00","58.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRPT","SAREPTA THERAPEUTICS INC","Health Care","Equity","1,596,847.44","0.01","1,596,847.44","25,084.00","63.66","United States","NASDAQ","USD","1.00","USD","-"
"NXT","NEXTRACKER INC CLASS A","Industrials","Equity","1,591,631.84","0.01","1,591,631.84","38,707.00","41.12","United States","NASDAQ","USD","1.00","USD","-"
"VOYA","VOYA FINANCIAL INC","Financials","Equity","1,591,800.00","0.01","1,591,800.00","26,250.00","60.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLB","GITLAB INC CLASS A","Information Technology","Equity","1,589,162.16","0.01","1,589,162.16","34,942.00","45.48","United States","NASDAQ","USD","1.00","USD","-"
"TFX","TELEFLEX INC","Health Care","Equity","1,587,499.30","0.01","1,587,499.30","12,917.00","122.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BFB","BROWN FORMAN CORP CLASS B","Consumer Staples","Equity","1,586,631.20","0.01","1,586,631.20","46,123.00","34.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AGCO","AGCO CORP","Industrials","Equity","1,581,007.40","0.01","1,581,007.40","16,486.00","95.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","1,582,129.92","0.01","1,582,129.92","53,056.00","29.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"R","RYDER SYSTEM INC","Industrials","Equity","1,579,263.62","0.01","1,579,263.62","11,033.00","143.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCN","FTI CONSULTING INC","Industrials","Equity","1,576,163.82","0.01","1,576,163.82","9,471.00","166.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AM","ANTERO MIDSTREAM CORP","Energy","Equity","1,576,554.36","0.01","1,576,554.36","89,781.00","17.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FOX","FOX CORP CLASS B","Communication","Equity","1,571,900.92","0.01","1,571,900.92","34,306.00","45.82","United States","NASDAQ","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","1,570,550.18","0.01","1,570,550.18","45,629.00","34.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","1,562,561.24","0.01","1,562,561.24","12,143.00","128.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RITM","RITHM CAPITAL CORP","Financials","Equity","1,553,179.40","0.01","1,553,179.40","136,844.00","11.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APA","APA CORP","Energy","Equity","1,550,279.00","0.01","1,550,279.00","100,018.00","15.50","United States","NASDAQ","USD","1.00","USD","-"
"UHALB","U HAUL NON VOTING SERIES N","Industrials","Equity","1,551,299.56","0.01","1,551,299.56","26,951.00","57.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADMA","ADMA BIOLOGICS INC","Health Care","Equity","1,544,659.08","0.01","1,544,659.08","65,148.00","23.71","United States","NASDAQ","USD","1.00","USD","-"
