iShares Russell 3000 ETF
Fund Holdings as of,"May 05, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CVX","CHEVRON CORP","Energy","Equity","59,825,689.00","0.41","59,825,689.00","441,518.00","135.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","58,642,251.51","0.40","58,642,251.51","129,599.00","452.49","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","56,645,163.60","0.39","56,645,163.60","683,790.00","82.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","54,274,928.65","0.37","54,274,928.65","55,493.00","978.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","53,270,308.98","0.36","53,270,308.98","1,936,398.00","27.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","52,191,616.23","0.36","52,191,616.23","169,613.00","307.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","50,758,496.26","0.35","50,758,496.26","95,443.00","531.82","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","49,492,484.02","0.34","49,492,484.02","1,136,713.00","43.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","48,947,699.56","0.33","48,947,699.56","370,844.00","131.99","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","46,910,552.73","0.32","46,910,552.73","549,111.00","85.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","46,679,539.02","0.32","46,679,539.02","73,839.00","632.18","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","46,403,421.68","0.32","46,403,421.68","8,939.00","5,191.12","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","46,218,975.11","0.31","46,218,975.11","359,429.00","128.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","45,534,195.00","0.31","45,534,195.00","81,375.00","559.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","45,184,928.94","0.31","45,184,928.94","490,554.00","92.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","44,740,254.60","0.30","44,740,254.60","117,410.00","381.06","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","44,511,304.32","0.30","44,511,304.32","157,752.00","282.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","43,646,805.72","0.30","43,646,805.72","433,908.00","100.59","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","43,602,755.66","0.30","43,602,755.66","103,258.00","422.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","42,787,504.30","0.29","42,787,504.30","84,577.00","505.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
